183;15.68;29.49;11.3775
184;12.36;29.5;11.1107
185;12.88;29.21;10.3714
186;13.56;28.58;8.8221
187;12.18;27.72;6.852
188;8.2;26.84;5.0577
189;10.15;25.89;3.098
190;8.81;24.81;1.2227
191;12.6;23.71;-0.94495
192;8.76;22.55;-3.0111
193;7.59;21.46;-4.8852
194;5.52;20.76;-6.0662
195;4.27;20.42;-6.0745
196;6.16;20.28;-6.2567
197;8.66;20.22;-5.847
198;4.15;20.16;-5.5748
199;9.19;20.36;-4.8789
200;10.21;21.28;-2.7435
201;12.92;23;0.99808
202;10.57;24.88;4.7327
203;13.51;26.17;7.3171
204;10.97;26.98;8.5271
205;15.61;27.7;9.8361
206;16.33;28.29;10.7161
207;15.14;28.73;11.3874
208;13.62;28.96;11.4739
209;11.69;28.74;10.7333
210;15.72;27.99;9.0855
211;8.88;27.06;7.0325
212;11.77;26.31;5.4072
213;6.08;25.65;3.9881
214;4.39;25.02;2.6912
215;6.79;24.63;2.107
216;4.33;24.47;1.7451
217;3.4;24.38;1.8556
218;3.23;24.26;1.4297
219;3.77;24.15;1.4925
220;4.17;24.09;1.4872
221;4.09;23.97;1.3642
222;0.72;23.76;0.92248
223;5.76;23.7;0.94845
224;9.05;24.1;1.8274
225;10.68;25.01;3.58
226;11.89;26.04;5.7326
227;11.66;26.83;7.01
228;15.72;27.45;8.4318
229;12.75;27.99;9.3203
230;12.67;28.36;9.8592
231;14.27;28.6;10.2642
232;10.34;28.69;10.0061
233;13.64;28.51;9.3309
234;13.01;28.03;8.3079
235;8.39;27.42;7.0047
236;10.83;26.94;5.763
237;8.67;26.55;5.0699
238;9.1;26.1;4.0897
239;10.76;25.6;3.2129
240;8.65;25.09;2.0271
241;9.01;24.62;1.5139
242;9.77;24.33;1.0912
243;4.48;24.22;0.6037
244;5.86;24.18;1.0758
245;5.19;24.07;0.86795
246;2.66;23.86;0.66502
247;6.4;23.74;0.3488
248;7.51;24.01;1.1675
249;9.61;24.75;2.5859
250;7.72;25.54;4.2706
251;9.09;25.99;5.071
252;14.97;26.13;5.4199
253;12.09;26.21;5.6323
254;12.98;26.24;5.3945
255;11.47;26.2;5.442
256;15.1;26.1;5.3019
257;11.53;25.9;4.8632
258;10.67;25.59;4.1737
259;10.71;25.2;3.3367
260;8.9;24.81;2.7355
261;8.54;24.37;2.1203
262;8.95;23.93;0.97634
263;9.22;23.68;0.75145
264;8.56;23.66;0.77443
265;10.72;23.69;0.97678
266;10.17;23.61;1.1073
267;8.58;23.45;0.68272
268;7.42;23.3;0.92198
269;6.65;23.07;0.15188
270;6.89;22.64;-0.45657
271;7.29;22.38;-0.81218
272;9.96;22.89;0.42147
273;12.02;24.22;3.2851
274;8.3;25.72;6.1636
275;10.37;26.84;8.4787
276;7.68;27.71;9.8151
277;11.72;28.47;11.1443
278;10.99;28.97;11.96
279;10.89;29.2;11.9423
280;7.31;29.19;11.7684
281;8.8;28.86;10.5693
282;11.72;28.17;9.1123
283;12.83;27.34;7.228
284;8.79;26.68;5.7598
285;2.67;26.1;4.7354
286;5.19;25.51;3.5203
287;3.63;25.09;2.7286
288;2.27;24.87;2.5267
289;6.28;24.68;2.1175
290;3.59;24.37;1.4549
291;8.51;23.98;0.86103
292;6.36;23.62;0.2625
293;6.89;23.39;0.12498
294;1.35;23.29;0.061289
295;4.05;23.32;0.46585
296;7.38;23.57;0.93493
297;7.38;24.11;2.2772
298;13.63;24.68;3.352
299;10.31;24.85;3.742
300;13.06;24.6;3.267
301;12.65;24.36;2.8361
302;13.71;24.5;3.1289
303;14.8;25.01;4.2865
304;13.86;25.54;5.2698
305;11.89;25.73;5.6177
306;11.17;25.59;5.4699
307;9.16;25.3;4.8519
308;9.46;24.86;3.7664
309;8.01;24.16;2.4152
310;6.93;23.46;1.172
311;9.57;23.15;0.72836
312;5.63;23.24;1.0917
313;7.3;23.41;1.5711
314;7.83;23.42;1.5543
315;5.5;23.3;1.4722
316;9.42;23.2;1.265
317;6;23.11;1.1756
318;10.44;22.98;1.0289
319;6.01;22.93;1.3164
320;6.72;23.22;1.7847
321;6.05;23.88;3.2328
322;11.39;24.67;4.8017
323;7.91;25.41;6.195
324;13.79;26.23;7.6367
325;14.27;27.01;9.308
326;13.44;27.47;9.8157
327;12.71;27.66;10.0302
328;9.51;27.68;9.9496
329;7.24;27.43;9.0739
330;9.78;26.85;7.746
331;9.51;26.15;6.3238
332;8.46;25.62;5.1392
333;7.23;25.21;4.3854
334;7.86;24.8;3.5409
335;5.69;24.3;2.4522
336;6.33;23.69;1.6985
337;6.91;23.12;0.47671
338;4.61;22.83;0.19118
339;6.12;22.82;0.26441
340;3.31;22.87;0.55975
341;7.25;22.78;0.42375
342;6.78;22.5;-0.067783
343;6.56;22.36;-0.033103
344;11.52;22.8;0.98029
345;7.08;23.8;3.1539
346;13.92;24.95;5.3301
347;13.75;25.96;7.3582
348;11.57;26.99;9.416
349;13.71;27.94;10.7262
350;12.47;28.34;11.4602
351;12.88;28.17;10.8297
352;12.75;27.83;10.1065
353;13.22;27.53;8.9957
354;13.27;27.21;8.418
355;11.61;26.8;7.2614
356;13.4;26.3;6.1909
357;11.32;25.64;4.687
358;9;24.97;3.3796
359;13.37;24.39;2.6358
360;9.73;23.84;1.5942
361;9.67;23.32;0.68866
362;10.52;22.93;-0.019301
