HVAC,Light,Appliance,Misc.,Outdoor equipment
976468.1587,8479.405204,333360.8297,127641.5031,31755.105
976532.6085,8479.405204,333360.8297,127641.5031,31755.105
975919.6228,8479.405204,333360.8297,127641.5031,31755.105
975408.7824,8479.405204,333360.8297,127641.5031,31755.105
974906.7789,8479.405204,333360.8297,127641.5031,31755.105
974355.6897,8479.405204,333360.8297,127641.5031,31755.105
973719.4136,8479.405204,333360.8297,127641.5031,31755.105
973157.8984,8479.405204,333360.8297,127641.5031,31755.105
972583.587,8479.405204,333360.8297,127641.5031,31755.105
971922.0157,8479.405204,333360.8297,127641.5031,31755.105
971332.9956,8479.405204,333360.8297,127641.5031,31755.105
970732.6215,8479.405204,333360.8297,127641.5031,31755.105
970054.4984,8479.405204,333360.8297,127641.5031,31755.105
969443.8508,8479.405204,333360.8297,127641.5031,31755.105
968838.6089,8479.405204,333360.8297,127641.5031,31755.105
968201.4702,8479.405204,333360.8297,127641.5031,31755.105
967638.7702,8479.405204,333360.8297,127641.5031,31755.105
967011.3663,8479.405204,333360.8297,127641.5031,31755.105
966435.6654,8479.405204,333360.8297,127641.5031,31755.105
965808.2194,8479.405204,333360.8297,127641.5031,31755.105
965230.0566,8479.405204,333360.8297,127641.5031,31755.105
964642.2406,8479.405204,333360.8297,127641.5031,31755.105
964034.4023,8479.405204,333360.8297,127641.5031,31755.105
963380.0577,8479.405204,333360.8297,127641.5031,31755.105
962766.5353,8479.405204,333360.8297,127641.5031,31755.105
962145.4699,8479.405204,333360.8297,127641.5031,31755.105
961504.5278,8479.405204,333360.8297,127641.5031,31755.105
960860.804,8479.405204,333360.8297,127641.5031,31755.105
960216.1349,8479.405204,333360.8297,127641.5031,31755.105
959568.2644,8479.405204,333360.8297,127641.5031,31755.105
958918.9409,8479.405204,333360.8297,127641.5031,31755.105
958267.0561,8479.405204,333360.8297,127641.5031,31755.105
957614.0133,8479.405204,333360.8297,127641.5031,31755.105
956958.3042,8479.405204,333360.8297,127641.5031,31755.105
956301.32,8479.405204,333360.8297,127641.5031,31755.105
955644.1558,8479.405204,333360.8297,127641.5031,31755.105
954985.1411,8479.405204,333360.8297,127641.5031,31755.105
954322.9455,8479.405204,333360.8297,127641.5031,31755.105
953659.8012,8479.405204,333360.8297,127641.5031,31755.105
952996.7436,8479.405204,333360.8297,127641.5031,31755.105
952333.7165,8479.405204,333360.8297,127641.5031,31755.105
951666.9385,8479.405204,333360.8297,127641.5031,31755.105
950998.8267,8479.405204,333360.8297,127641.5031,31755.105
950330.7842,8479.405204,333360.8297,127641.5031,31755.105
949663,8479.405204,333360.8297,127641.5031,31755.105
948993.5282,8479.405204,333360.8297,127641.5031,31755.105
948321.8671,8479.405204,333360.8297,127641.5031,31755.105
947649.8586,8479.405204,333360.8297,127641.5031,31755.105
946978.2884,8479.405204,333360.8297,127641.5031,31755.105
946305.1221,8479.405204,333360.8297,127641.5031,31755.105
945631.635,8479.405204,333360.8297,127641.5031,31755.105
944957.1558,8479.405204,333360.8297,127641.5031,31755.105
944282.5049,8479.405204,333360.8297,127641.5031,31755.105
943606.5232,8479.405204,333360.8297,127641.5031,31755.105
942930.4432,8479.405204,333360.8297,127641.5031,31755.105
942254.881,8479.405204,333360.8297,127641.5031,31755.105
941578.5483,8479.405204,333360.8297,127641.5031,31755.105
940900.5986,8479.405204,333360.8297,127641.5031,31755.105
940222.5529,8479.405204,333360.8297,127641.5031,31755.105
939545.2133,8479.405204,333360.8297,127641.5031,31755.105
944209.4969,8479.405204,317371.0831,110509.8258,31755.105
944417.5899,8479.405204,317371.0831,110509.8258,31755.105
944478.0743,8479.405204,317371.0831,110509.8258,31755.105
944527.7209,8479.405204,317371.0831,110509.8258,31755.105
944568.3104,8479.405204,317371.0831,110509.8258,31755.105
944600.8804,8479.405204,317371.0831,110509.8258,31755.105
944627.44,8479.405204,317371.0831,110509.8258,31755.105
944649.6973,8479.405204,317371.0831,110509.8258,31755.105
944669.1488,8479.405204,317371.0831,110509.8258,31755.105
944684.3215,8479.405204,317371.0831,110509.8258,31755.105
944696.4765,8479.405204,317371.0831,110509.8258,31755.105
944705.3115,8479.405204,317371.0831,110509.8258,31755.105
944712.0178,8479.405204,317371.0831,110509.8258,31755.105
944715.1857,8479.405204,317371.0831,110509.8258,31755.105
944716.1763,8479.405204,317371.0831,110509.8258,31755.105
944715.8949,8479.405204,317371.0831,110509.8258,31755.105
944712.9457,8479.405204,317371.0831,110509.8258,31755.105
944706.4717,8479.405204,317371.0831,110509.8258,31755.105
944698.183,8479.405204,317371.0831,110509.8258,31755.105
944688.6913,8479.405204,317371.0831,110509.8258,31755.105
944577.367,8479.405204,317371.0831,110509.8258,31755.105
944313.6321,8479.405204,317371.0831,110509.8258,31755.105
944098.0409,8479.405204,317371.0831,110509.8258,31755.105
943878.8505,8479.405204,317371.0831,110509.8258,31755.105
943646.4122,8479.405204,317371.0831,110509.8258,31755.105
943377.1304,8479.405204,317371.0831,110509.8258,31755.105
943228.0958,8479.405204,317371.0831,110509.8258,31755.105
943213.6134,8479.405204,317371.0831,110509.8258,31755.105
943155.2274,8479.405204,317371.0831,110509.8258,31755.105
943141.8395,8479.405204,317371.0831,110509.8258,31755.105
943124.1835,8479.405204,317371.0831,110509.8258,31755.105
943093.0489,8479.405204,317371.0831,110509.8258,31755.105
943059.9246,8479.405204,317371.0831,110509.8258,31755.105
943025.3133,8479.405204,317371.0831,110509.8258,31755.105
942989.4813,8479.405204,317371.0831,110509.8258,31755.105
942952.7047,8479.405204,317371.0831,110509.8258,31755.105
942881.7968,8479.405204,317371.0831,110509.8258,31755.105
942853.834,8479.405204,317371.0831,110509.8258,31755.105
942821.657,8479.405204,317371.0831,110509.8258,31755.105
942745.7258,8479.405204,317371.0831,110509.8258,31755.105
942714.406,8479.405204,317371.0831,110509.8258,31755.105
942696.6285,8479.405204,317371.0831,110509.8258,31755.105
942571.3021,8479.405204,317371.0831,110509.8258,31755.105
942594.9015,8479.405204,317371.0831,110509.8258,31755.105
942494.201,8479.405204,317371.0831,110509.8258,31755.105
942473.0825,8479.405204,317371.0831,110509.8258,31755.105
942370.1944,8479.405204,317371.0831,110509.8258,31755.105
942355.4714,8479.405204,317371.0831,110509.8258,31755.105
942269.5329,8479.405204,317371.0831,110509.8258,31755.105
942207.0925,8479.405204,317371.0831,110509.8258,31755.105
942159.0757,8479.405204,317371.0831,110509.8258,31755.105
942109.1361,8479.405204,317371.0831,110509.8258,31755.105
942017.7174,8479.405204,317371.0831,110509.8258,31755.105
941965.9007,8479.405204,317371.0831,110509.8258,31755.105
941910.3173,8479.405204,317371.0831,110509.8258,31755.105
941814.1329,8479.405204,317371.0831,110509.8258,31755.105
941757.313,8479.405204,317371.0831,110509.8258,31755.105
941667.7719,8479.405204,317371.0831,110509.8258,31755.105
941608.6851,8479.405204,317371.0831,110509.8258,31755.105
941517.2076,8479.405204,317371.0831,110509.8258,31755.105
944713.0601,8479.405204,315217.5819,95510.04991,31755.105
945678.3824,8479.405204,315217.5819,95510.04991,31755.105
946542.4284,8479.405204,315217.5819,95510.04991,31755.105
947448.1134,8479.405204,315217.5819,95510.04991,31755.105
948347.3783,8479.405204,315217.5819,95510.04991,31755.105
949201.8218,8479.405204,315217.5819,95510.04991,31755.105
950095.2757,8479.405204,315217.5819,95510.04991,31755.105
950954.8396,8479.405204,315217.5819,95510.04991,31755.105
951845.3701,8479.405204,315217.5819,95510.04991,31755.105
952701.8315,8479.405204,315217.5819,95510.04991,31755.105
953587.9292,8479.405204,315217.5819,95510.04991,31755.105
954469.7582,8479.405204,315217.5819,95510.04991,31755.105
955312.1128,8479.405204,315217.5819,95510.04991,31755.105
956192.2862,8479.405204,315217.5819,95510.04991,31755.105
957068.9545,8479.405204,315217.5819,95510.04991,31755.105
957907.2873,8479.405204,315217.5819,95510.04991,31755.105
958783.0542,8479.405204,315217.5819,95510.04991,31755.105
959627.7512,8479.405204,315217.5819,95510.04991,31755.105
960501.8923,8479.405204,315217.5819,95510.04991,31755.105
961345.7787,8479.405204,315217.5819,95510.04991,31755.105
962219.3464,8479.405204,315217.5819,95510.04991,31755.105
963088.2716,8479.405204,315217.5819,95510.04991,31755.105
963917.1412,8479.405204,315217.5819,95510.04991,31755.105
964770.7713,8479.405204,315217.5819,95510.04991,31755.105
965621.7745,8479.405204,315217.5819,95510.04991,31755.105
966436.4017,8479.405204,315217.5819,95510.04991,31755.105
967285.3607,8479.405204,315217.5819,95510.04991,31755.105
968105.9167,8479.405204,315217.5819,95510.04991,31755.105
968953.5512,8479.405204,315217.5819,95510.04991,31755.105
969771.9139,8479.405204,315217.5819,95510.04991,31755.105
970616.7727,8479.405204,315217.5819,95510.04991,31755.105
971433.974,8479.405204,315217.5819,95510.04991,31755.105
972278.4123,8479.405204,315217.5819,95510.04991,31755.105
973094.2278,8479.405204,315217.5819,95510.04991,31755.105
973935.7298,8479.405204,315217.5819,95510.04991,31755.105
974746.2166,8479.405204,315217.5819,95510.04991,31755.105
975570.6162,8479.405204,315217.5819,95510.04991,31755.105
976367.7061,8479.405204,315217.5819,95510.04991,31755.105
977186.4182,8479.405204,315217.5819,95510.04991,31755.105
978050.0111,8479.405204,315217.5819,95510.04991,31755.105
978945.5985,8479.405204,315217.5819,95510.04991,31755.105
979725.0033,8479.405204,315217.5819,95510.04991,31755.105
980654.5807,8479.405204,315217.5819,95510.04991,31755.105
981424.6227,8479.405204,315217.5819,95510.04991,31755.105
982353.772,8479.405204,315217.5819,95510.04991,31755.105
983142.3633,8479.405204,315217.5819,95510.04991,31755.105
984018.2218,8479.405204,315217.5819,95510.04991,31755.105
984846.7551,8479.405204,315217.5819,95510.04991,31755.105
985703.755,8479.405204,315217.5819,95510.04991,31755.105
986533.2267,8479.405204,315217.5819,95510.04991,31755.105
987388.8234,8479.405204,315217.5819,95510.04991,31755.105
988217.0745,8479.405204,315217.5819,95510.04991,31755.105
989064.0271,8479.405204,315217.5819,95510.04991,31755.105
989975.9422,8479.405204,315217.5819,95510.04991,31755.105
990828.6758,8479.405204,315217.5819,95510.04991,31755.105
991703.5026,8479.405204,315217.5819,95510.04991,31755.105
992597.8899,8479.405204,315217.5819,95510.04991,31755.105
993461.8594,8479.405204,315217.5819,95510.04991,31755.105
994352.4039,8479.405204,315217.5819,95510.04991,31755.105
995214.224,8479.405204,315217.5819,95510.04991,31755.105
998416.1251,8479.405204,312633.3804,87435.24008,31755.105
999457.7994,8479.405204,312633.3804,87435.24008,31755.105
1000499.696,8479.405204,312633.3804,87435.24008,31755.105
1001507.736,8479.405204,312633.3804,87435.24008,31755.105
1002544.538,8479.405204,312633.3804,87435.24008,31755.105
1003547.747,8479.405204,312633.3804,87435.24008,31755.105
1004579.06,8479.405204,312633.3804,87435.24008,31755.105
1005578.72,8479.405204,312633.3804,87435.24008,31755.105
1006608.546,8479.405204,312633.3804,87435.24008,31755.105
1007606.504,8479.405204,312633.3804,87435.24008,31755.105
1008633.313,8479.405204,312633.3804,87435.24008,31755.105
1009629.246,8479.405204,312633.3804,87435.24008,31755.105
1010654.737,8479.405204,312633.3804,87435.24008,31755.105
1011649.468,8479.405204,312633.3804,87435.24008,31755.105
1012673.688,8479.405204,312633.3804,87435.24008,31755.105
1013667.708,8479.405204,312633.3804,87435.24008,31755.105
1014689.377,8479.405204,312633.3804,87435.24008,31755.105
1015706.4,8479.405204,312633.3804,87435.24008,31755.105
1016712.82,8479.405204,312633.3804,87435.24008,31755.105
1017718.572,8479.405204,312633.3804,87435.24008,31755.105
1018723.977,8479.405204,312633.3804,87435.24008,31755.105
1019728.292,8479.405204,312633.3804,87435.24008,31755.105
1020731.648,8479.405204,312633.3804,87435.24008,31755.105
1021734.473,8479.405204,312633.3804,87435.24008,31755.105
1022736.891,8479.405204,312633.3804,87435.24008,31755.105
1023738.126,8479.405204,312633.3804,87435.24008,31755.105
1024737.985,8479.405204,312633.3804,87435.24008,31755.105
1025737.206,8479.405204,312633.3804,87435.24008,31755.105
1026735.985,8479.405204,312633.3804,87435.24008,31755.105
1027733.642,8479.405204,312633.3804,87435.24008,31755.105
1028730.664,8479.405204,312633.3804,87435.24008,31755.105
1029726.649,8479.405204,312633.3804,87435.24008,31755.105
1030722.016,8479.405204,312633.3804,87435.24008,31755.105
1031716.297,8479.405204,312633.3804,87435.24008,31755.105
1032709.895,8479.405204,312633.3804,87435.24008,31755.105
1033703.074,8479.405204,312633.3804,87435.24008,31755.105
1034695.339,8479.405204,312633.3804,87435.24008,31755.105
1035686.261,8479.405204,312633.3804,87435.24008,31755.105
1036718.417,8479.405204,312633.3804,87435.24008,31755.105
1037644.968,8479.405204,312633.3804,87435.24008,31755.105
