HVAC,Light,Appliance,Misc.,Outdoor equipment
632710.6755,7207.494424,283356.7052,108495.2776,26991.83925
632444.0247,7207.494424,283356.7052,108495.2776,26991.83925
632178.7099,7207.494424,283356.7052,108495.2776,26991.83925
631907.8823,7207.494424,283356.7052,108495.2776,26991.83925
631634.5505,7207.494424,283356.7052,108495.2776,26991.83925
631360.1622,7207.494424,283356.7052,108495.2776,26991.83925
631194.244,7207.494424,283356.7052,108495.2776,26991.83925
630895.0416,7207.494424,283356.7052,108495.2776,26991.83925
630604.1401,7207.494424,283356.7052,108495.2776,26991.83925
630312.6906,7207.494424,283356.7052,108495.2776,26991.83925
630020.2996,7207.494424,283356.7052,108495.2776,26991.83925
629724.4082,7207.494424,283356.7052,108495.2776,26991.83925
629426.6571,7207.494424,283356.7052,108495.2776,26991.83925
629126.4462,7207.494424,283356.7052,108495.2776,26991.83925
628824.607,7207.494424,283356.7052,108495.2776,26991.83925
628519.4136,7207.494424,283356.7052,108495.2776,26991.83925
628212.4447,7207.494424,283356.7052,108495.2776,26991.83925
627882.745,7207.494424,283356.7052,108495.2776,26991.83925
627626.6011,7207.494424,283356.7052,108495.2776,26991.83925
627242.5418,7207.494424,283356.7052,108495.2776,26991.83925
626999.7567,7207.494424,283356.7052,108495.2776,26991.83925
626609.2033,7207.494424,283356.7052,108495.2776,26991.83925
630645.0777,7207.494424,269765.4206,93933.35194,26991.83925
630954.46,7207.494424,269765.4206,93933.35194,26991.83925
631219.4532,7207.494424,269765.4206,93933.35194,26991.83925
631457.0528,7207.494424,269765.4206,93933.35194,26991.83925
631691.4505,7207.494424,269765.4206,93933.35194,26991.83925
631916.8293,7207.494424,269765.4206,93933.35194,26991.83925
632136.6442,7207.494424,269765.4206,93933.35194,26991.83925
632353.6821,7207.494424,269765.4206,93933.35194,26991.83925
632568.7621,7207.494424,269765.4206,93933.35194,26991.83925
632779.564,7207.494424,269765.4206,93933.35194,26991.83925
632987.7936,7207.494424,269765.4206,93933.35194,26991.83925
633193.0933,7207.494424,269765.4206,93933.35194,26991.83925
633396.6857,7207.494424,269765.4206,93933.35194,26991.83925
633596.5958,7207.494424,269765.4206,93933.35194,26991.83925
633794.3286,7207.494424,269765.4206,93933.35194,26991.83925
633921.0596,7207.494424,269765.4206,93933.35194,26991.83925
634124.152,7207.494424,269765.4206,93933.35194,26991.83925
634315.1878,7207.494424,269765.4206,93933.35194,26991.83925
634504.0195,7207.494424,269765.4206,93933.35194,26991.83925
634692.0377,7207.494424,269765.4206,93933.35194,26991.83925
634879.3595,7207.494424,269765.4206,93933.35194,26991.83925
635062.3189,7207.494424,269765.4206,93933.35194,26991.83925
635243.1494,7207.494424,269765.4206,93933.35194,26991.83925
635423.3066,7207.494424,269765.4206,93933.35194,26991.83925
635602.8798,7207.494424,269765.4206,93933.35194,26991.83925
635779.5794,7207.494424,269765.4206,93933.35194,26991.83925
635953.4134,7207.494424,269765.4206,93933.35194,26991.83925
636126.1149,7207.494424,269765.4206,93933.35194,26991.83925
636298.1577,7207.494424,269765.4206,93933.35194,26991.83925
636467.4739,7207.494424,269765.4206,93933.35194,26991.83925
636635.4653,7207.494424,269765.4206,93933.35194,26991.83925
636801.4254,7207.494424,269765.4206,93933.35194,26991.83925
636966.2778,7207.494424,269765.4206,93933.35194,26991.83925
637123.7456,7207.494424,269765.4206,93933.35194,26991.83925
637300.9743,7207.494424,269765.4206,93933.35194,26991.83925
637449.183,7207.494424,269765.4206,93933.35194,26991.83925
637606.7835,7207.494424,269765.4206,93933.35194,26991.83925
637770.5807,7207.494424,269765.4206,93933.35194,26991.83925
637942.797,7207.494424,269765.4206,93933.35194,26991.83925
638098.3692,7207.494424,269765.4206,93933.35194,26991.83925
638260.3554,7207.494424,269765.4206,93933.35194,26991.83925
638417.0679,7207.494424,269765.4206,93933.35194,26991.83925
638571.912,7207.494424,269765.4206,93933.35194,26991.83925
638747.8013,7207.494424,269765.4206,93933.35194,26991.83925
638840.8888,7207.494424,269765.4206,93933.35194,26991.83925
639064.9421,7207.494424,269765.4206,93933.35194,26991.83925
639136.1499,7207.494424,269765.4206,93933.35194,26991.83925
639353.1467,7207.494424,269765.4206,93933.35194,26991.83925
639426.0816,7207.494424,269765.4206,93933.35194,26991.83925
639641.7941,7207.494424,269765.4206,93933.35194,26991.83925
639711.4422,7207.494424,269765.4206,93933.35194,26991.83925
639923.6455,7207.494424,269765.4206,93933.35194,26991.83925
640012.4298,7207.494424,269765.4206,93933.35194,26991.83925
640166.5507,7207.494424,269765.4206,93933.35194,26991.83925
640299.4999,7207.494424,269765.4206,93933.35194,26991.83925
640433.8102,7207.494424,269765.4206,93933.35194,26991.83925
640566.8427,7207.494424,269765.4206,93933.35194,26991.83925
640696.99,7207.494424,269765.4206,93933.35194,26991.83925
640825.7813,7207.494424,269765.4206,93933.35194,26991.83925
640953.991,7207.494424,269765.4206,93933.35194,26991.83925
643358.2071,7207.494424,267934.9446,81183.54242,26991.83925
643829.1285,7207.494424,267934.9446,81183.54242,26991.83925
644249.907,7207.494424,267934.9446,81183.54242,26991.83925
644667.3242,7207.494424,267934.9446,81183.54242,26991.83925
645082.1778,7207.494424,267934.9446,81183.54242,26991.83925
645493.7196,7207.494424,267934.9446,81183.54242,26991.83925
645902.7589,7207.494424,267934.9446,81183.54242,26991.83925
646310.5984,7207.494424,267934.9446,81183.54242,26991.83925
646718.0006,7207.494424,267934.9446,81183.54242,26991.83925
647123.4111,7207.494424,267934.9446,81183.54242,26991.83925
647527.8874,7207.494424,267934.9446,81183.54242,26991.83925
647931.192,7207.494424,267934.9446,81183.54242,26991.83925
648334.1023,7207.494424,267934.9446,81183.54242,26991.83925
648735.2567,7207.494424,267934.9446,81183.54242,26991.83925
649135.7847,7207.494424,267934.9446,81183.54242,26991.83925
649536.4132,7207.494424,267934.9446,81183.54242,26991.83925
649936.0723,7207.494424,267934.9446,81183.54242,26991.83925
650333.781,7207.494424,267934.9446,81183.54242,26991.83925
650730.9836,7207.494424,267934.9446,81183.54242,26991.83925
651128.2437,7207.494424,267934.9446,81183.54242,26991.83925
651525.645,7207.494424,267934.9446,81183.54242,26991.83925
651920.6423,7207.494424,267934.9446,81183.54242,26991.83925
652314.6989,7207.494424,267934.9446,81183.54242,26991.83925
652708.8459,7207.494424,267934.9446,81183.54242,26991.83925
653103.1671,7207.494424,267934.9446,81183.54242,26991.83925
653496.0579,7207.494424,267934.9446,81183.54242,26991.83925
653887.4939,7207.494424,267934.9446,81183.54242,26991.83925
654278.6651,7207.494424,267934.9446,81183.54242,26991.83925
654669.9017,7207.494424,267934.9446,81183.54242,26991.83925
655059.7817,7207.494424,267934.9446,81183.54242,26991.83925
655449.2294,7207.494424,267934.9446,81183.54242,26991.83925
655837.7694,7207.494424,267934.9446,81183.54242,26991.83925
656230.9938,7207.494424,267934.9446,81183.54242,26991.83925
656615.8369,7207.494424,267934.9446,81183.54242,26991.83925
657005.4569,7207.494424,267934.9446,81183.54242,26991.83925
657389.7564,7207.494424,267934.9446,81183.54242,26991.83925
657778.5485,7207.494424,267934.9446,81183.54242,26991.83925
658160.3262,7207.494424,267934.9446,81183.54242,26991.83925
658546.845,7207.494424,267934.9446,81183.54242,26991.83925
658932.8204,7207.494424,267934.9446,81183.54242,26991.83925
659317.1681,7207.494424,267934.9446,81183.54242,26991.83925
659699.2434,7207.494424,267934.9446,81183.54242,26991.83925
660080.5211,7207.494424,267934.9446,81183.54242,26991.83925
660461.7568,7207.494424,267934.9446,81183.54242,26991.83925
661202.3304,7207.494424,267934.9446,81183.54242,26991.83925
661429.2395,7207.494424,267934.9446,81183.54242,26991.83925
661792.4447,7207.494424,267934.9446,81183.54242,26991.83925
662176.7927,7207.494424,267934.9446,81183.54242,26991.83925
662561.7435,7207.494424,267934.9446,81183.54242,26991.83925
662945.1784,7207.494424,267934.9446,81183.54242,26991.83925
663328.0646,7207.494424,267934.9446,81183.54242,26991.83925
663710.07,7207.494424,267934.9446,81183.54242,26991.83925
664091.6832,7207.494424,267934.9446,81183.54242,26991.83925
664472.0934,7207.494424,267934.9446,81183.54242,26991.83925
664852.0918,7207.494424,267934.9446,81183.54242,26991.83925
665232.0441,7207.494424,267934.9446,81183.54242,26991.83925
665611.1299,7207.494424,267934.9446,81183.54242,26991.83925
665988.7438,7207.494424,267934.9446,81183.54242,26991.83925
666365.872,7207.494424,267934.9446,81183.54242,26991.83925
666742.9858,7207.494424,267934.9446,81183.54242,26991.83925
668003.379,7207.494424,265738.3734,74319.95407,26991.83925
667726.9281,7207.494424,265738.3734,74319.95407,26991.83925
667430.0139,7207.494424,265738.3734,74319.95407,26991.83925
667136.3559,7207.494424,265738.3734,74319.95407,26991.83925
666844.9455,7207.494424,265738.3734,74319.95407,26991.83925
666554.8286,7207.494424,265738.3734,74319.95407,26991.83925
666266.2036,7207.494424,265738.3734,74319.95407,26991.83925
665977.7008,7207.494424,265738.3734,74319.95407,26991.83925
665694.1255,7207.494424,265738.3734,74319.95407,26991.83925
665413.8346,7207.494424,265738.3734,74319.95407,26991.83925
665136.738,7207.494424,265738.3734,74319.95407,26991.83925
664862.1926,7207.494424,265738.3734,74319.95407,26991.83925
664591.1397,7207.494424,265738.3734,74319.95407,26991.83925
664322.6326,7207.494424,265738.3734,74319.95407,26991.83925
664057.6623,7207.494424,265738.3734,74319.95407,26991.83925
663796.9026,7207.494424,265738.3734,74319.95407,26991.83925
663539.0953,7207.494424,265738.3734,74319.95407,26991.83925
663283.7338,7207.494424,265738.3734,74319.95407,26991.83925
663032.2686,7207.494424,265738.3734,74319.95407,26991.83925
662785.2119,7207.494424,265738.3734,74319.95407,26991.83925
662542.7495,7207.494424,265738.3734,74319.95407,26991.83925
662302.4868,7207.494424,265738.3734,74319.95407,26991.83925
662065.9148,7207.494424,265738.3734,74319.95407,26991.83925
661834.1851,7207.494424,265738.3734,74319.95407,26991.83925
661607.5124,7207.494424,265738.3734,74319.95407,26991.83925
661384.6135,7207.494424,265738.3734,74319.95407,26991.83925
661166.805,7207.494424,265738.3734,74319.95407,26991.83925
660953.1002,7207.494424,265738.3734,74319.95407,26991.83925
660744.2601,7207.494424,265738.3734,74319.95407,26991.83925
660539.7956,7207.494424,265738.3734,74319.95407,26991.83925
