HVAC,Light,Appliance,Misc.,Outdoor equipment
1068453,8479,333361,127642,31755
1069058,8479,333361,127642,31755
1069076,8479,333361,127642,31755
1068807,8479,333361,127642,31755
1068736,8479,333361,127642,31755
1068379,8479,333361,127642,31755
1068241,8479,333361,127642,31755
1067839,8479,333361,127642,31755
1067671,8479,333361,127642,31755
1067240,8479,333361,127642,31755
1067008,8479,333361,127642,31755
1066646,8479,333361,127642,31755
1066313,8479,333361,127642,31755
1065963,8479,333361,127642,31755
1065606,8479,333361,127642,31755
1065244,8479,333361,127642,31755
1064874,8479,333361,127642,31755
1064493,8479,333361,127642,31755
1064107,8479,333361,127642,31755
1063716,8479,333361,127642,31755
1063323,8479,333361,127642,31755
1062918,8479,333361,127642,31755
1062507,8479,333361,127642,31755
1062092,8479,333361,127642,31755
1061676,8479,333361,127642,31755
1061251,8479,333361,127642,31755
1060819,8479,333361,127642,31755
1060384,8479,333361,127642,31755
1059946,8479,333361,127642,31755
1059500,8479,333361,127642,31755
1059051,8479,333361,127642,31755
1058597,8479,333361,127642,31755
1058139,8479,333361,127642,31755
1057675,8479,333361,127642,31755
1057206,8479,333361,127642,31755
1056736,8479,333361,127642,31755
1056261,8479,333361,127642,31755
1055819,8479,333361,127642,31755
1055372,8479,333361,127642,31755
1054940,8479,333361,127642,31755
1054493,8479,333361,127642,31755
1054041,8479,333361,127642,31755
1053585,8479,333361,127642,31755
1053126,8479,333361,127642,31755
1052856,8479,333361,127642,31755
1052359,8479,333361,127642,31755
1051874,8479,333361,127642,31755
1051387,8479,333361,127642,31755
1050899,8479,333361,127642,31755
1050405,8479,333361,127642,31755
1049907,8479,333361,127642,31755
1049406,8479,333361,127642,31755
1048902,8479,333361,127642,31755
1048392,8479,333361,127642,31755
1047880,8479,333361,127642,31755
1047330,8479,333361,127642,31755
1046902,8479,333361,127642,31755
1046261,8479,333361,127642,31755
1045855,8479,333361,127642,31755
1045203,8479,333361,127642,31755
1051929,8479,317371,110510,31755
1052444,8479,317371,110510,31755
1052885,8479,317371,110510,31755
1053280,8479,317371,110510,31755
1053670,8479,317371,110510,31755
1054046,8479,317371,110510,31755
1054411,8479,317371,110510,31755
1054773,8479,317371,110510,31755
1055131,8479,317371,110510,31755
1055481,8479,317371,110510,31755
1055828,8479,317371,110510,31755
1056170,8479,317371,110510,31755
1056508,8479,317371,110510,31755
1056837,8479,317371,110510,31755
1057162,8479,317371,110510,31755
1057372,8479,317371,110510,31755
1057710,8479,317371,110510,31755
1058028,8479,317371,110510,31755
1058343,8479,317371,110510,31755
1058656,8479,317371,110510,31755
1058967,8479,317371,110510,31755
1059272,8479,317371,110510,31755
1059573,8479,317371,110510,31755
1059873,8479,317371,110510,31755
1060171,8479,317371,110510,31755
1060466,8479,317371,110510,31755
1060755,8479,317371,110510,31755
1061042,8479,317371,110510,31755
1061329,8479,317371,110510,31755
1061610,8479,317371,110510,31755
1061890,8479,317371,110510,31755
1062158,8479,317371,110510,31755
1062461,8479,317371,110510,31755
1062710,8479,317371,110510,31755
1062976,8479,317371,110510,31755
1063265,8479,317371,110510,31755
1063550,8479,317371,110510,31755
1063816,8479,317371,110510,31755
1064087,8479,317371,110510,31755
1064355,8479,317371,110510,31755
1064623,8479,317371,110510,31755
1064920,8479,317371,110510,31755
1065086,8479,317371,110510,31755
1065460,8479,317371,110510,31755
1065583,8479,317371,110510,31755
1065960,8479,317371,110510,31755
1066079,8479,317371,110510,31755
1066440,8479,317371,110510,31755
1066562,8479,317371,110510,31755
1066920,8479,317371,110510,31755
1067060,8479,317371,110510,31755
1067162,8479,317371,110510,31755
1067184,8479,317371,110510,31755
1067206,8479,317371,110510,31755
1067226,8479,317371,110510,31755
1067244,8479,317371,110510,31755
1067264,8479,317371,110510,31755
1067414,8479,317371,110510,31755
1067629,8479,317371,110510,31755
1067842,8479,317371,110510,31755
1071849,8479,315218,95510,31755
1072634,8479,315218,95510,31755
1073335,8479,315218,95510,31755
1074031,8479,315218,95510,31755
1074722,8479,315218,95510,31755
1075407,8479,315218,95510,31755
1076089,8479,315218,95510,31755
1076768,8479,315218,95510,31755
1077447,8479,315218,95510,31755
1078123,8479,315218,95510,31755
1078797,8479,315218,95510,31755
1079469,8479,315218,95510,31755
1080140,8479,315218,95510,31755
